title,info,score
When Life Gives You Tangerines,"Korean Drama - 2025, 16 episodes",9.3
Twinkling Watermelon,"Korean Drama - 2023, 16 episodes",9.2
Move to Heaven,"Korean Drama - 2021, 10 episodes",9.1
Weak Hero Class 1,"Korean Drama - 2022, 8 episodes",9.1
Alchemy of Souls,"Korean Drama - 2022, 20 episodes",9.1
The Trauma Code: Heroes on Call,"Korean Drama - 2025, 8 episodes",9.1
Pursuit of Jade,"Chinese Drama - 2026, 40 episodes",9.1
Hospital Playlist Season 2,"Korean Drama - 2021, 12 episodes",9.1
Flower of Evil,"Korean Drama - 2020, 16 episodes",9.0
Reply 1988,"Korean Drama - 2015, 20 episodes",9.0
Moving,"Korean Drama - 2023, 20 episodes",9.0
The Untamed Special Edition,"Chinese Special - 2019, 20 episodes",9.0
Hospital Playlist,"Korean Drama - 2020, 12 episodes",9.0
When I Fly Towards You,"Chinese Drama - 2023, 24 episodes",9.0
Nirvana in Fire,"Chinese Drama - 2015, 54 episodes",9.0
Teach You a Lesson,"Korean Drama - 2026, 10 episodes",9.0
Hidden Love,"Chinese Drama - 2023, 25 episodes",9.0
Under the Queen's Umbrella,"Korean Drama - 2022, 16 episodes",9.0
Crash Landing on You,"Korean Drama - 2019, 16 episodes",9.0
The Untamed,"Chinese Drama - 2019, 50 episodes",9.0
Reset,"Chinese Drama - 2022, 15 episodes",9.0
One Liter of Tears,"Japanese Drama - 2005, 11 episodes",8.9
Lovely Runner,"Korean Drama - 2024, 16 episodes",8.9
Joy of Life,"Chinese Drama - 2019, 46 episodes",8.9
My Mister,"Korean Drama - 2018, 16 episodes",8.9
The Glory Part 2,"Korean Drama - 2023, 8 episodes",8.9
Mr. Queen,"Korean Drama - 2020, 20 episodes",8.9
Mysterious Lotus Casebook,"Chinese Drama - 2023, 40 episodes",8.9
Prison Playbook,"Korean Drama - 2017, 16 episodes",8.9
My Dearest,"Korean Drama - 2023, 10 episodes",8.9
Mother,"Korean Drama - 2018, 16 episodes",8.9
Alice in Borderland Season 2,"Japanese Drama - 2022, 8 episodes",8.9
Alchemy of Souls Season 2: Light and Shadow,"Korean Drama - 2022, 10 episodes",8.9
Taxi Driver Season 2,"Korean Drama - 2023, 16 episodes",8.9
Alice in Borderland,"Japanese Drama - 2020, 8 episodes",8.9
The Spirealm,"Chinese Drama - 2024, 78 episodes",8.9
The Prisoner of Beauty,"Chinese Drama - 2025, 36 episodes",8.9
The Glory,"Korean Drama - 2022, 8 episodes",8.9
The Good Bad Mother,"Korean Drama - 2023, 14 episodes",8.9
Love Like the Galaxy: Part 2,"Chinese Drama - 2022, 29 episodes",8.9
Navillera,"Korean Drama - 2021, 12 episodes",8.9
My Dearest Part 2,"Korean Drama - 2023, 11 episodes",8.9
Mouse,"Korean Drama - 2021, 20 episodes",8.9
Dr. Romantic Season 3,"Korean Drama - 2023, 16 episodes",8.9
Love Like the Galaxy: Part 1,"Chinese Drama - 2022, 27 episodes",8.9
Vincenzo,"Korean Drama - 2021, 20 episodes",8.9
Kingdom Season 2,"Korean Drama - 2020, 6 episodes",8.9
The First Frost,"Chinese Drama - 2025, 32 episodes",8.8
Study Group,"Korean Drama - 2025, 10 episodes",8.8
Joy of Life Season 2,"Chinese Drama - 2024, 36 episodes",8.8
Go Ahead,"Chinese Drama - 2020, 46 episodes",8.8
Love in the Clouds,"Chinese Drama - 2025, 36 episodes",8.8
Twelve Letters,"Chinese Drama - 2025, 12 episodes",8.8
Weak Hero Class 2,"Korean Drama - 2025, 8 episodes",8.8
Extraordinary Attorney Woo,"Korean Drama - 2022, 16 episodes",8.8
Signal,"Korean Drama - 2016, 16 episodes",8.8
It's Okay to Not Be Okay,"Korean Drama - 2020, 16 episodes",8.8
Meet Yourself,"Chinese Drama - 2023, 40 episodes",8.8
The Double,"Chinese Drama - 2024, 40 episodes",8.8
Happiness,"Korean Drama - 2021, 12 episodes",8.8
Tomorrow,"Korean Drama - 2022, 16 episodes",8.8
Taxi Driver,"Korean Drama - 2021, 16 episodes",8.8
Death's Game Part 2,"Korean Drama - 2024, 4 episodes",8.8
Someday or One Day,"Taiwanese Drama - 2019, 13 episodes",8.8
Partners for Justice Season 2,"Korean Drama - 2019, 32 episodes",8.8
Death's Game,"Korean Drama - 2023, 4 episodes",8.8
The Uncanny Counter,"Korean Drama - 2020, 16 episodes",8.8
Kingdom,"Korean Drama - 2019, 6 episodes",8.8
The Blood of Youth,"Chinese Drama - 2022, 40 episodes",8.8
Guardian: The Lonely and Great God,"Korean Drama - 2016, 16 episodes",8.8
Mr. Sunshine,"Korean Drama - 2018, 24 episodes",8.8
Twenty Five Twenty One,"Korean Drama - 2022, 16 episodes",8.8
Healer,"Korean Drama - 2014, 20 episodes",8.8
To the Wonder,"Chinese Drama - 2024, 8 episodes",8.8
Blossom,"Chinese Drama - 2024, 34 episodes",8.8
Daily Dose of Sunshine,"Korean Drama - 2023, 12 episodes",8.8
A Shop for Killers,"Korean Drama - 2024, 8 episodes",8.7
D.P.,"Korean Drama - 2021, 6 episodes",8.7
Love Story in the 1970s,"Chinese Drama - 2026, 29 episodes",8.7
Tale of the Nine-Tailed 1938,"Korean Drama - 2023, 12 episodes",8.7
The Story of Ming Lan,"Chinese Drama - 2018, 78 episodes",8.7
Love between Lines,"Chinese Drama - 2026, 28 episodes",8.7
Dr. Romantic Season 2,"Korean Drama - 2020, 16 episodes",8.7
One Piece,"Japanese Drama - 2023, 8 episodes",8.7
The Edge of Horizon,"Thai Drama - 2026, 11 episodes",8.7
The Red Sleeve,"Korean Drama - 2021, 17 episodes",8.7
Stranger,"Korean Drama - 2017, 16 episodes",8.7
Payback,"Thai Drama - 2026, 10 episodes",8.7
The First Responders,"Korean Drama - 2022, 12 episodes",8.7
Love between Fairy and Devil,"Chinese Drama - 2022, 36 episodes",8.7
Weightlifting Fairy Kim Bok Joo,"Korean Drama - 2016, 16 episodes",8.7
Moon Lovers: Scarlet Heart Ryeo,"Korean Drama - 2016, 20 episodes",8.7
The Best Thing,"Chinese Drama - 2025, 28 episodes",8.7
Eternal Love,"Chinese Drama - 2017, 58 episodes",8.7
Word of Honor - Epilogue,"Chinese Special - 2021, 1 episodes",8.7
